Pool,Project,Chain,TVL,Asset Type,Asset APY,APY,APY Base,APY Reward,Change 1d,Change 7d,Outlook,Confidence,Category,IL 7d,APY Base 7d,APY Net 7d,APY Mean 30d,Volume 1d,Volume 7d,APY Base Inception,APY Including LSD APY,APY Base Including LSD APY,APY Base Borrow,APY Reward Borrow,APY Borrow,Total Supply USD,Total Borrow USD,Total Available USD,Pool Meta,Volatility_1d,Volatility_7d,Log_TVL,APY_Risk,Cluster,APY_Rank,TVL_Rank,Risk_Score,Vol_Rank,Risk_Category,ML_Risk_Score,ML_Risk_Category
USUALUSDC+,Morpho Blue,Ethereum,158182831,,,6.09091,5.83703,0.25388,-2.38753,0.47372,Stable/Up,3.0,Lending,,3.79414,3.79414,7.72052,,,,6.09091,5.83703,,,,,,,,2.38753,0.47372,18.879262086549343,0.32262436805406236,2,0.9,0.2777777777777778,66.53333333333335,0.7222222222222222,Medium Risk,77.15908533996775,High Risk
STEAKUSDC,Morpho Blue,Ethereum,119175774,,,5.59018,4.74353,0.84665,-1.99687,-0.66113,Down,2.0,Lending,,3.79414,3.79414,5.2071,,,,5.59018,4.74353,,,,,,,,1.99687,0.66113,18.596110062075763,0.3006101803731745,2,0.8333333333333334,0.3111111111111111,66.17777777777778,0.8111111111111111,Medium Risk,76.67479382283518,High Risk
BBQUSDC,Morpho Blue,Ethereum,112809441,,,5.75821,5.13972,0.61849,-1.16697,-0.02285,Stable/Up,3.0,Lending,,3.79414,3.79414,6.26854,,,,5.75821,5.13972,,,,,,,,1.16697,0.02285,18.541210599198866,0.31056278494829254,2,0.8666666666666667,0.3222222222222222,56.8,0.24444444444444444,Medium Risk,62.40603216438562,Medium Risk
STEAKRUSD,Morpho Blue,Ethereum,91936085,,,5.72372,4.87685,0.84687,-0.04885,0.00838,Down,1.0,Lending,,3.79414,3.79414,6.23485,,,,5.72372,4.87685,,,,,,,,0.04885,0.00838,18.33660417619406,0.31214721902711723,1,0.8555555555555555,0.4,57.422222222222224,0.17777777777777778,Medium Risk,59.86505415855564,Medium Risk
GTUSDCCORE,Morpho Blue,Ethereum,73025911,,,5.52326,5.22474,0.29852,-0.51502,0.11545,Stable/Up,3.0,Lending,,3.79414,3.79414,5.91105,,,,5.52326,5.22474,,,,,,,,0.51502,0.11545,18.106324895033765,0.3050458904288705,2,0.8111111111111111,0.4444444444444444,60.711111111111116,0.37777777777777777,Medium Risk,64.01931352307972,Medium Risk
CSUSDL,Morpho Blue,Ethereum,70640644,,,4.72079,0.21807,4.50272,-0.0495,-0.0183,Down,3.0,Lending,,3.79414,3.79414,4.93022,,,,4.72079,0.21807,,,,,,,,0.0495,0.0183,18.07311624502237,0.2612050924698823,2,0.7444444444444445,0.4666666666666667,55.33333333333333,0.23333333333333334,Medium Risk,60.724753062621495,Medium Risk
REUSDC,Morpho Blue,Ethereum,51625803,,,7.08282,6.21099,0.87183,-2.7787,0.94293,Stable/Up,3.0,Lending,,3.79414,3.79414,7.72901,,,,7.08282,6.21099,,,,,,,,2.7787,0.94293,17.75953218297408,0.3988179377151748,2,0.9666666666666667,0.5222222222222221,81.33333333333334,0.9111111111111111,High Risk,87.0186388303849,High Risk
STEAKUSDT,Morpho Blue,Ethereum,38472117,,,3.74375,2.89684,0.84691,0.08407,-0.30776,Stable/Up,1.0,Lending,,3.79414,3.79414,4.66618,,,,3.74375,2.89684,,,,,,,,0.08407,0.30776,17.465444329100663,0.21435183265061397,1,0.6333333333333333,0.5666666666666667,60.75555555555556,0.6111111111111112,Medium Risk,67.65867942075134,High Risk
GTUSDC,Morpho Blue,Ethereum,32796216,,,5.58214,4.73549,0.84665,-0.78896,-0.6877,Down,1.0,Lending,,3.79414,3.79414,5.1722,,,,5.58214,4.73549,,,,,,,,0.78896,0.6877,17.305823731336883,0.3225584685629279,2,0.8222222222222222,0.6,75.33333333333333,0.8333333333333334,High Risk,87.6895613227813,High Risk
HUSDC,Morpho Blue,Ethereum,28440325,,,5.69867,5.69867,0.7409,-2.40135,0.19563,Stable/Up,3.0,Lending,,3.79414,3.79414,7.37093,,,,5.69867,5.69867,,,,,,,,2.40135,0.19563,17.16331862556217,0.3320261147813624,2,0.8444444444444444,0.6111111111111112,70.97777777777777,0.5444444444444444,High Risk,81.33304822822213,High Risk
STEAKETH,Morpho Blue,Ethereum,27717374,,,2.61919,2.31135,0.30784,-0.02904,0.368,Stable/Up,2.0,Lending,,3.79414,3.79414,2.84148,,,,2.61919,2.31135,,,,,,,,0.02904,0.368,17.13757003083224,0.15283321937052977,0,0.43333333333333335,0.6222222222222222,53.60000000000001,0.6444444444444445,Medium Risk,53.56515240975393,Medium Risk
GTWETH,Morpho Blue,Ethereum,26885083,,,2.60886,2.30047,0.30839,-0.07107,0.28912,Stable/Up,1.0,Lending,,3.79414,3.79414,2.85824,,,,2.60886,2.30047,,,,,,,,0.07107,0.28912,17.107082192639854,0.15250175165011104,1,0.4222222222222222,0.6333333333333333,52.31111111111111,0.5888888888888889,Medium Risk,52.82918104654201,Medium Risk
MCWETH,Morpho Blue,Ethereum,24884557,,,5.01164,5.01164,0.7409,-1.56112,0.01454,Down,3.0,Lending,,3.79414,3.79414,5.58139,,,,5.01164,5.01164,,,,,,,,1.56112,0.01454,17.029758008413214,0.29428721168698335,2,0.7666666666666667,0.6444444444444444,61.64444444444445,0.2111111111111111,Medium Risk,69.15433127633517,High Risk
GTUSDCF,Morpho Blue,Ethereum,23459076,,,6.5868,5.35031,1.2365,0.06725,0.49322,Stable/Up,2.0,Lending,,3.79414,3.79414,7.88564,,,,6.5868,5.35031,,,,,,,,0.06725,0.49322,16.970768056852112,0.388126216676476,2,0.9333333333333333,0.6666666666666667,81.24444444444445,0.7555555555555555,High Risk,93.14123682108219,High Risk
RESOLVUSDC,Morpho Blue,Ethereum,18872080,,,5.89349,5.14556,0.74793,-2.53019,0.17224,Down,1.0,Lending,,3.79414,3.79414,5.81534,,,,5.89349,5.14556,,,,,,,,2.53019,0.17224,16.75319419213335,0.35178306491351685,2,0.8777777777777778,0.7444444444444445,75.95555555555556,0.5,High Risk,91.4646923233448,High Risk
GTDAICORE,Morpho Blue,Ethereum,18822289,,,6.13557,5.87628,0.2593,-0.20339,-0.16489,Stable/Up,2.0,Lending,,3.79414,3.79414,7.08219,,,,6.13557,5.87628,,,,,,,,0.20339,0.16489,16.750552363784035,0.366290607422927,2,0.9111111111111111,0.7555555555555555,77.68888888888888,0.4888888888888889,High Risk,91.17240981507955,High Risk
RE7WETH,Morpho Blue,Ethereum,18695114,,,5.38583,5.38583,0.7409,-0.1689,1.67362,Down,3.0,Lending,,3.79414,3.79414,4.31573,,,,5.38583,5.38583,,,,,,,,0.1689,1.67362,16.743772817751804,0.3216616743802165,2,0.8,0.7666666666666666,82.26666666666667,0.9666666666666667,High Risk,98.07122400102558,High Risk
HYPERUSDC,Morpho Blue,Ethereum,16080433,,,7.66315,7.57504,0.08811,-5.07155,1.66104,Down,2.0,Lending,,3.79414,3.79414,9.10559,,,,7.66315,7.57504,,,,,,,,5.07155,1.66104,16.59311381140062,0.4618271222086649,2,0.9777777777777777,0.8,91.64444444444446,0.9555555555555556,High Risk,100.0,High Risk
MHYETH,Morpho Blue,Ethereum,14178440,,,5.07903,4.34516,0.73387,-0.75684,-0.15589,Stable/Up,1.0,Lending,,3.79414,3.79414,5.51961,,,,5.07903,4.34516,,,,,,,,0.75684,0.15589,16.467233129441507,0.3084325071538146,2,0.7777777777777778,0.8444444444444444,73.24444444444445,0.4444444444444444,High Risk,87.04696670896082,High Risk
STEAKPYUSD,Morpho Blue,Ethereum,12665419,,,3.30411,2.58646,0.71765,-0.02094,0.16063,Stable/Up,3.0,Lending,,3.79414,3.79414,4.84997,,,,3.30411,2.58646,,,,,,,,0.02094,0.16063,16.354386003126248,0.20203204200808259,0,0.5777777777777777,0.8555555555555556,64.66666666666667,0.4777777777777778,Medium Risk,67.34140231971365,High Risk
GTUSDT,Morpho Blue,Ethereum,11179797,,,4.3999,3.55304,0.84686,0.51547,0.49281,Stable/Up,3.0,Lending,,3.79414,3.79414,4.54524,,,,4.3999,3.55304,,,,,,,,0.51547,0.49281,16.229618957549466,0.27110309930926113,2,0.7111111111111111,0.8888888888888888,77.46666666666667,0.7444444444444445,High Risk,89.15329940383593,High Risk
SBMORPHOUSDC,Morpho Blue,Ethereum,8575232,,,4.56673,3.91583,0.6509,-0.04132,-0.88194,Stable/Up,2.0,Lending,,3.79414,3.79414,4.47518,,,,4.56673,3.91583,,,,,,,,0.04132,0.88194,15.964388722658788,0.28605730412454117,2,0.7333333333333333,0.9666666666666667,84.13333333333334,0.9,High Risk,94.55484953754136,High Risk
