Pool,Project,Chain,TVL,Asset Type,Asset APY,APY,APY Base,APY Reward,Change 1d,Change 7d,Outlook,Confidence,Category,IL 7d,APY Base 7d,APY Net 7d,APY Mean 30d,Volume 1d,Volume 7d,APY Base Inception,APY Including LSD APY,APY Base Including LSD APY,APY Base Borrow,APY Reward Borrow,APY Borrow,Total Supply USD,Total Borrow USD,Total Available USD,Pool Meta
WSTETH,AAVE V3,Ethereum,145880755,Yield Bearing (Lido),2.886,0.26082,0.26082,,0.01677,0.00047,Stable/Up,3,Lending,,,,0.22651,,,,3.14682,3.14682,-0.40961,,-0.40961,442417802,296537047,145880755,lido-market
RETH,AAVE V3,Ethereum,83127510,Yield Bearing (RocketPool),2.90557,0.00284,0.00284,,-0.00003,-0.00048,,,Lending,,,,0.00363,,,,2.90841,2.90841,-0.22813,,-0.22813,84364756,1237246,83127510,
DAI,AAVE V3,Ethereum,61064030,,,1.94771,1.94771,,0.03247,-0.67176,Stable/Up,3,Lending,,,,2.78653,,,,1.94771,1.94771,-4.11541,,-4.11541,165492011,104427980,61064031,
ETHX,AAVE V3,Ethereum,21801790,Yield Bearing (Stader),3.26066,0.00001,0.00001,,0,0,,,Lending,,,,0.00001,,,,3.26067,3.26067,-0.01294,,-0.01294,21819934,18145,21801789,
PYUSD,AAVE V3,Ethereum,15490841,,,0.6639,0.6639,,0.01802,-0.69754,Stable/Up,3,Lending,,,,1.43805,,,,0.6639,0.6639,-3.4539,,-3.4539,20389781,4898940,15490841,
CBETH,AAVE V3,Ethereum,9508739,Yield Bearing (Coinbase),,0.1208,0.1208,,-0.00041,-0.15697,Stable/Up,3,Lending,,,,0.24221,,,,3.28799,3.28799,-1.48682,,-1.48682,10513655,1004915,9508740,
ANKRETH,Ankr,Ethereum,20524098,,,4.24842,,,-0.08895,0.4254,Down,1,Liquid Staking,,,,5.896,,,,4.24842,0,,,,,,,
CBETH,Coinbase Wrapped Staked ETH,Ethereum,199718699,,,3.16719,3.16719,,-0.99115,0.10283,Stable/Up,2,Liquid Staking,,,,3.1652,,,,3.16719,3.16719,,,,,,,
WBTC,Compound V2,Ethereum,226129459,,,0.00618,0.00618,,0,-0.00051,Stable/Up,2,Lending,,,,0.00709,,,,0.00618,0.00618,-2.62961,0,-2.62961,226901728,772269,226129459,
WETH,Compound V2,Ethereum,68432791,,,0.01905,0.01905,,0,0.00074,Stable/Up,3,Lending,,,,0.01792,,,,0.01905,0.01905,-2.2644,0,-2.2644,69168173,735382,68432791,
USDT,Compound V2,Ethereum,34984571,,,2.23522,2.23522,,0.00182,-0.19464,Stable/Up,3,Lending,,,,2.37796,,,,2.23522,2.23522,-4.11389,0,-4.11389,98570119,63585547,34984572,
USDC,Compound V2,Ethereum,15761036,,,1.47389,1.47389,,-0.02517,-0.29337,Stable/Up,3,Lending,,,,2.14265,,,,1.47389,1.47389,-3.55336,0,-3.55336,35714667,19953632,15761035,
DAI,Compound V2,Ethereum,7440276,,,2.69684,2.69684,,-0.05173,-0.73805,Stable/Up,3,Lending,,,,3.12216,,,,2.69684,2.69684,-4.52256,0,-4.52256,25460120,18019843,7440277,
USDC,Compound V3,Ethereum,100771880,,,3.96145,3.74938,0.21208,0.06769,0.46427,Down,1,Lending,,,,4.06523,,,,3.96145,3.74938,-4.8058,0.27108,-4.53472,488044950,387273071,100771879,
USDT,Compound V3,Ethereum,64094383,,,3.71111,3.18468,0.52643,-0.08453,-0.41257,Stable/Up,3,Lending,,,,3.93622,,,,3.71111,3.18468,-4.30791,0.55789,-3.7500200000000000,196612646,132518263,64094383,
ETH,Compound V3,Ethereum,9837324,,,2.54719,1.89028,0.65691,0.48303,0.09411,Down,1,Lending,,,,2.75396,,,,2.54719,1.89028,-2.35645,0.42894,-1.9275100000000000,78779660,68942335,9837325,
SUSDE,Ethena USDe,Ethereum,2151791019,,,4.88327,4.88327,,-0.00133,0.33937,Stable/Up,3,Basis Trading,,,,5.87839,,,,4.88327,4.88327,,,,,,,7 days unstaking
WEETH,ether.fi Stake,Ethereum,3565361944,,,2.87235,2.36516,0.50719,-1.07222,-0.77945,Stable/Up,1,Liquid Restaking,,3.64607,3.64607,3.52816,,,,2.87235,2.36516,,,,,,,
EUSD0-4,Euler V2,Ethereum,24324503,,,4.28664,4.28664,,0.08984,0.52377,Down,1,Lending,,,,4.12609,,,,4.28664,4.28664,,,,,,,
ERSETH-4,Euler V2,Ethereum,20495865,Yield Bearing (Kelp),3.02,0.03607,0.03607,,0.00022,0.00274,Down,1,Lending,,,,0.04468,,,,0.03607,0.03607,,,,,,,
EWBTC-3,Euler V2,Ethereum,11823704,,,0.35164,0.35164,,-0.02499,-0.36535,Stable/Up,1,Lending,,,,1.31105,,,,0.35164,0.35164,,,,,,,
EUSDC-2,Euler V2,Ethereum,11407622,,,2.34354,2.34354,,-0.0368,-0.96277,Stable/Up,3,Lending,,,,3.13176,,,,2.34354,2.34354,,,,,,,
EWEETH-6,Euler V2,Ethereum,10692739,Yield Bearing (EthFi),2.87235,0.22079,0.22079,,0.00071,0.21081,Down,2,Lending,,,,0.03808,,,,0.22079,0.22079,,,,,,,
